location,lat,lon
"New Orleans, USA",29.951065,-90.071533
"New York City, USA",43.0,-75.0
"Cizre, Turkey",37.332346,42.185474
"Zhengzhou, China",34.746613,113.625328
"Verhoyansk, Russia",67.55482,133.38995
"Makrakomi, Greece",38.9415711,22.1153635
"Sicily, Italy",37.5,15.090278
"Qaanaaq, Greenland",77.467043,-69.228483
"Liege, Belgium",50.632557,5.56749
"Bad Neuenahr-Ahrweiler, Germany",50.541815,7.119718
"Lytton, BC",50.233258,-121.581404
"Kupang, Indonesia",-10.17083,123.60694
"Texas, United States",31.0,-100.0
"Madrid, Spain",40.416775,-3.70379
"London, UK",51.509865,-0.118092
"Suva, Fiji",-18.1416,178.441895
"Port-au-prince, Haiti",18.533333,-72.333336
